source_url,rec_url,y_n,notes,date,time,notes
https://washingtoncitypaper.com/article/520461/people-watching-binoculars-culturaldc-extreme-lengths-performance/#amp-x-canary=1,https://washingtoncitypaper.com/article/180219/the-director-of-nightlife-and-cultures-early-priorities-emerge-six-months-into-office/,y,arts/culture related,6/24/2021,4:29:58 PM,
https://washingtoncitypaper.com/article/180219/the-director-of-nightlife-and-cultures-early-priorities-emerge-six-months-into-office/#amp-x-canary=1,https://washingtoncitypaper.com/article/514726/three-ways-to-enjoy-d-c-s-picnic-boats-this-spring/,y,culture related,6/24/2021,4:32:54 PM,
https://washingtoncitypaper.com/article/514726/three-ways-to-enjoy-d-c-s-picnic-boats-this-spring/#amp-x-canary=1,https://washingtoncitypaper.com/article/505301/dc-statehood-georgia-results/,n,politics,6/24/2021,4:34:02 PM,
https://washingtoncitypaper.com/article/505301/dc-statehood-georgia-results/#amp-x-canary=1,https://washingtoncitypaper.com/article/513914/city-lights-is-dc-statehood-americas-future/,y,politics,6/24/2021,4:35:31 PM,
https://washingtoncitypaper.com/article/505301/dc-statehood-georgia-results/#amp-x-canary=1,https://washingtoncitypaper.com/article/520222/city-lights-sungazer-make-their-long-awaited-return-to-touring/,n,arts related,6/24/2021,4:37:12 PM,
https://washingtoncitypaper.com/article/520266/werewolves-within-sam-richardson-reviewed/#amp-x-canary=1,https://washingtoncitypaper.com/article/510087/bowser-admin-pitches-bill-to-work-around-d-c-contract-judges-ruling/,n,politics,6/24/2021,4:41:08 PM,
https://washingtoncitypaper.com/article/520420/d-c-will-get-a-taste-of-bolivia-at-casa-kantuta/#amp-x-canary=1,https://washingtoncitypaper.com/article/520392/city-lights-cautious-clay-debut-album-deadpan-love/,y,arts/culture related,6/24/2021,4:43:43 PM,
https://washingtoncitypaper.com/article/520686/one-year-on-from-the-toppling-of-albert-pike-what-happens-to-it-and-other-problematic-d-c-statues/#amp-x-canary=1,https://washingtoncitypaper.com/article/509427/when-black-residents-wanted-to-get-vaccinated-accessing-the-covid-19-shot-wasnt-easy/,y,systemic racism,6/28/2021,11:13:54 AM,
https://washingtoncitypaper.com/article/520686/one-year-on-from-the-toppling-of-albert-pike-what-happens-to-it-and-other-problematic-d-c-statues/#amp-x-canary=1,https://washingtoncitypaper.com/article/519615/city-lights-re-emerge-and-make-discoveries-with-studio-gallery/,n,arts related,6/28/2021,11:15:49 AM,
https://washingtoncitypaper.com/article/520372/data-show-disparities-in-d-c-s-teen-vaccinations/#amp-x-canary=1,https://washingtoncitypaper.com/article/509427/when-black-residents-wanted-to-get-vaccinated-accessing-the-covid-19-shot-wasnt-easy/,y,systemic racism / covid,6/28/2021,11:19:36 AM,
https://washingtoncitypaper.com/article/520372/data-show-disparities-in-d-c-s-teen-vaccinations/#amp-x-canary=1,https://washingtoncitypaper.com/article/512945/nats-emphasize-health-safety-as-fans-return-to-nationals-park/,y,covid,6/28/2021,11:20:15 AM,
https://washingtoncitypaper.com/article/520622/meet-the-artists-from-the-national-gallery-copyist-program/#amp-x-canary=1,https://washingtoncitypaper.com/article/510264/judicial-nomination-commissioner-calls-candidate-a-slick-jew-resigns/,n,politics,6/28/2021,11:23:21 AM,
https://washingtoncitypaper.com/article/520622/meet-the-artists-from-the-national-gallery-copyist-program/#amp-x-canary=1,https://washingtoncitypaper.com/article/520461/people-watching-binoculars-culturaldc-extreme-lengths-performance/,y,arts related,6/28/2021,11:24:25 AM,
https://washingtoncitypaper.com/article/520461/people-watching-binoculars-culturaldc-extreme-lengths-performance/#amp-x-canary=1,https://washingtoncitypaper.com/article/510269/this-zoom-play-comes-with-a-multi-course-meal-from-a-local-pizzeria/,y,arts related,6/28/2021,11:26:21 AM,
